District,Extwall,Stories,Year_Built,Fin_sqft,Units,Bdrms,Fbath,Lotsize,Sale_date,Sale_price
7,Frame,2,1913,3476,>3,>8,1,5040,11719,42000
3,Frame,2,1897,1992,>3,2,2,2880,11808,145000
4,Frame,2,1907,2339,>3,0,1,3185,11839,30000
4,Frame,2,1890,2329,>3,4,1,5781,11961,66500
4,Stone,>2,1891,7450,2,7,>4,15600,11992,150500
12,Frame,1.5,1906,2462,2,3,2,5075,11992,75000
4,Frame,1.5,1890,2372,>3,2,2,7750,12022,35000
11,Brick,1,1950,1149,1,3,1,4800,12204,75000
1,Aluminum / Vinyl,1,1947,994,1,3,1,4200,12265,22000
1,Stucco,2,1905,2938,>3,3,1,9480,12387,125000
1,Brick,1,1951,1620,1,4,2,7800,12387,148500
13,Brick,1,1956,986,1,3,1,10428,12387,105000
3,Frame,2,1890,2360,>3,1,2,4560,12539,125000
8,Aluminum / Vinyl,1,1903,1156,1,2,1,2280,12600,29000
4,Frame,2,1895,3269,>3,6,1,5668,12631,115000
15,Frame,2,1899,3380,>3,>8,1,4520,12784,70000
4,Frame,2,1908,2775,>3,4,1,4230,12843,50000
12,Frame,2,1889,2796,>3,0,2,6450,12843,109900
12,Frame,2,1889,1930,>3,1,2,2950,12874,55000
4,Frame,2,1913,2872,>3,3,2,4200,12904,92000
13,Brick,2,1949,2430,>3,6,1,5400,12935,230000
4,Frame,2,1890,3243,>3,8,1,4150,13027,77000
6,Frame,2,1905,3346,>3,4,1,4551,13027,110000
12,Frame,2,1900,2679,>3,7,2,3500,13118,97000
12,Frame,2,1880,3459,>3,8,1,3500,13149,180000
3,Stucco,2,1895,3208,>3,5,1,3252,13180,343100
6,Block,2,1956,1920,>3,4,1,5250,13180,48000
3,Stucco,2,1916,2800,>3,2,1,5080,13208,250000
6,Brick,2,1908,2646,2,6,2,6000,13269,124100
4,Frame,2,1908,3466,2,6,4,4230,13300,176800
7,Frame,2,1913,3476,>3,>8,1,5040,13300,104000
7,Frame,1,1932,761,1,3,1,4680,13300,31100
6,Frame,2,1905,3346,>3,4,1,4551,13330,216000
15,Frame,2,1899,4225,>3,>8,1,4520,13330,135000
4,Frame,2,1908,3380,>3,4,1,5400,13361,122000
4,Aluminum / Vinyl,2,1901,2898,2,6,4,3600,13361,160900
8,Aluminum / Vinyl,2,1903,2880,>3,6,1,4200,13361,128750
8,Aluminum / Vinyl,1.5,1892,2091,>3,4,1,5600,13361,155000
4,Frame,2,1901,2770,>3,6,1,6160,13392,185000
7,Frame,2,1913,2696,>3,4,1,5504,13545,86900
12,Frame,2,1889,2796,>3,7,2,6450,13545,50000
6,Block,2,1956,1920,>3,4,1,5250,13726,42500
9,Aluminum / Vinyl,2,2007,2237,1,4,2,11129,13726,257000
8,Aluminum / Vinyl,2,1903,3552,>3,7,1,5535,13757,155000
8,Frame,2,1903,3552,2,7,4,5418,13879,189000
2,Frame,1,1962,1169,1,3,2,6351,14153,64000
1,Stone,1,1938,1188,1,2,1,5838,14245,103000
1,Aluminum / Vinyl,1,1951,1054,1,3,1,4797,14245,73450
1,Aluminum / Vinyl,1,1950,998,1,3,1,5040,14245,90000
1,Aluminum / Vinyl,1,1951,988,1,3,1,4800,14245,63300
1,Aluminum / Vinyl,2,2004,1470,1,3,2,5945,14245,107500
1,Masonry / Frame,2,1949,2460,2,5,2,5400,14245,95000
1,Brick,1.5,1900,4507,1,5,1,6660,14245,129000
2,Brick,1,1954,1456,1,3,1,5590,14245,120900
2,Aluminum / Vinyl,1.5,1962,1875,2,5,2,6000,14245,70000
2,Aluminum / Vinyl,1,1966,1379,1,3,1,8190,14245,129900
2,Brick,1,1962,1361,1,3,1,5750,14245,126500
2,Brick,1,1964,1334,1,3,1,5544,14245,109000
2,Brick,1,1962,1334,1,3,1,5250,14245,108000
2,Brick,1,1959,1288,1,3,2,5400,14245,115000
2,Frame,1,1970,1120,1,4,1,8040,14245,49000
2,Frame,1,1955,864,1,3,1,6500,14245,75000
2,Aluminum / Vinyl,1,1957,864,1,3,1,6000,14245,62500
3,Stucco,>2,1894,3255,1,3,2,4800,14245,4e+05
3,Frame,1,1910,977,1,3,1,4080,14245,137000
3,Aluminum / Vinyl,2,1912,2152,2,4,2,4020,14245,186500
3,Aluminum / Vinyl,1.5,1908,1656,2,4,2,3600,14245,130000
3,Aluminum / Vinyl,1,1909,1359,1,3,2,3600,14245,190000
3,Aluminum / Vinyl,2,1921,1248,1,3,1,4800,14245,215000
